ID,Borough,Name,Overall_Pop,Race_White,Race_Black,Race_Asian,Race_Latino,Race_Other,Age0to17,Age18to24,Age25to44,Age45to64,Age65plus,Ltd_Eng_Prof,lower_95CL,upper_95CL,NYC_Comparison,Born_Outside_US,lower_95CL,upper_95CL,NYC_Comparison,School_Absent,NYC_comparison,On_Time_HS_Grad,NYC_Comparison,Edu_Did_Not_Complete_HS,lower_95CL,upper_95CL,NYC_Comparison,Edu_HSGrad_Some_College,lower_95CL,upper_95CL,NYC_Comparison,Edu_College_Degree_And_Higher,lower_95CL,upper_95CL,NYC_Comparison,Poverty,Unemployment,lower_95CL,upper_95CL,NYC_Comparison,Rent_Burden,lower_95CL,upper_95CL,NYC_Comparison,Avertable_Death,Assault_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Jail_Incarceration,Helpful_Neighbor,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Homes_No_Defects,Homes_No_Defects_reliability_note,Homes_Roach,Homes_Roach_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,Homes_AC,Homes_AC_reliability_note ,lower_95CL,upper_95CL,NYC_Comparison,Air_Pollution,Bike_Coverage,NYC_comparison,Pedestrian_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Ratio_Bodega_Supermarket,Farmers_Markets,Late_No_Prenatal,NYC_Comparison,Preterm_Births,NYC_Comparison,Teen_Births,Teen_Births_reliability_note,NYC_Comparison,Child_Obesity,lower_95CL,upper_95CL,NYC_Comparison,Child_Asthma,Avoidable_Child_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Self_Rep_Health,Self_Rep_Health_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Physical_Activity,Physical_Activity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Sugary_Drink,Sugary_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Fruit_Veg,Fruit_Veg_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Smoking,Smoking_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Uninsured,Uninsured_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Unmet_Med_Care,Unmet_Med_Care_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Avoidable_Adult_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Falls_Hosp,lower_95CL,upper_95CL,NYC_Comparison,HPV_Vaccination_All,HPV_Vaccincation_note,Flu_Vaccination,Flu_Vaccination_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Obesity,Obesity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Diabetes,Diabetes_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Hypertension,Hypertension_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,HIV_Diagnoses,HIV_Diagnoses_reliability_note,HepC_Reports,Binge_Drink,Binge_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Psych_Hosp,lower_95CL,upper_95CL,NYC_comparison,Infant_Mort,Infant_Mort_reliability_note,lower_95CL,upper_95CL,NYC_comparison,Premature_Mort_Number,Premature_Mort_Rate,NYC_Comparison,Life_Expectancy,lower_95CL,upper_95CL,NYC_Comparison
111,Manhattan,East Harlem,118409,11,31,6,50,2,21,9,31,23,16,18,16.4,19.3,Lower,22,20.7,24.1,Lower,36,Higher,77,Lower,26,23.9,27.5,Higher,37,35.6,39.4,Same,37,35,38.6,Lower,23,9,8,11,Higher,47,44,50,Same,44,130,119.1,141.8,Higher,495,75,67.6,80.3,Similar,0.427,47,,30,,22.5,37.7,Similar,85,,80.6,89.6,Lower,6.4,39,Higher,29,23.7,34.7,Higher,11,4,9.9,Higher,10.4,Higher,14.7,,Similar,23,21.1,25.5,Similar,506,1374,1116,1631.8,Higher,76.2,,69.3,81.9,Similar,0.436,72,,63.3,79.1,Similar,0.659,30,,21.8,38.9,Similar,0.089,82,,73.3,87.8,Lower,0.035,19,,12.2,28.1,Similar,0.059,8,,4.6,14.6,Similar,0.078,18,,11.6,26,Similar,0.157,1850,1459.2,2240.1,Similar,1775,1653.1,1896.7,Higher,86,,52,,43.5,60.6,Similar,0.533,30,,22.6,39.1,Similar,0.194,20,,14.6,25.5,Higher,0.009,29,,23.5,35,Similar,0.417,29.8,,38.8,21,,16.1,27.9,Similar,0.258,409,350.6,466.5,Lower,3.4,,1.2,7.3,Similar,268,110.2,Lower,86.7,86,87.3,Higher
112,Manhattan,Washington Heights and Inwood,185656,16,7,3,72,1,18,9,32,25,16,36,34.4,38,Higher,46,44.3,47.6,Lower,20,Lower,81,Similar,27,25.9,28.8,Higher,33,31.3,34.4,Lower,40,38.3,41.3,Lower,18,8,7,9,Higher,50,47,52,Same,13,43,37.5,47.7,Lower,218,75,68.5,80.4,Similar,0.473,39,,35,,29.3,40.9,Higher,92,,89.6,94.9,Similar,6.3,38,Higher,17,13.8,20.5,Lower,10,5,6.8,Similar,9.1,Similar,16.7,,Higher,24,21.3,27.6,Similar,211,587,456.2,744.7,Similar,71.7,,65.9,76.8,Lower,0.011,76,,69,81.7,Similar,0.471,22,,16.1,28.2,Similar,0.809,89,,84.3,93,Similar,0.99,10,,6,15.4,Similar,0.49,12,,8,18.2,Similar,0.851,15,,9.8,21.3,Similar,0.471,1252,939.8,1564.2,Similar,1420,1333.2,1506.8,Lower,76,,57,,48.9,63.8,Similar,0.06,26,,20.1,32.8,Similar,0.711,15,,11.1,21.1,Similar,0.207,31,,25.4,37.9,Similar,0.131,27.9,,34.2,25,,17.9,33.2,Similar,0.081,828,773.1,883.5,Higher,2.6,,1.2,4.7,Similar,562,90.5,Lower,87,86.7,87.3,Higher
201,Bronx,Mott Haven and Melrose,96584,1,24,1,74,1,27,11,28,22,13,29,27.8,30.4,Higher,30,28.3,31.1,Lower,38,Higher,73,Lower,37,35.4,38.7,Higher,45,43.6,46.9,Higher,18,16.6,18.8,Lower,32,12,11,14,Higher,58,56,61,Higher,48,186,170,201.4,Higher,510,68,60.3,74.1,Lower,0.007,36,,46,,38.5,53.3,Higher,84,,79.1,89.5,Lower,6.3,22,Higher,43,35.6,51.2,Higher,8,4,15.2,Higher,12,Higher,27.9,,Higher,26,24.8,27.5,Higher,541,1760,1469.4,2050.3,Higher,62.8,,52.8,71.9,Lower,0.001,65,,54.2,74,Similar,0.08,39,,30.1,49.5,Higher,0.001,84,,77,89.5,Similar,0.099,17,,10.5,25.3,Similar,0.15,17,,11.3,24.6,Similar,0.203,16,,9.7,24.7,Similar,0.395,2908,2328.7,3468.5,Higher,1632,1481.6,1782.9,Similar,98,,56,,46.1,64.7,Similar,0.193,36,,27.1,45.4,Higher,0.018,16,,10.9,22,Similar,0.229,35,,27.3,44.2,Higher,0.042,42.6,,17,25,,18.4,32.9,Similar,0.058,406,372.2,440,Lower,1.4,,0.7,2.6,Lower,1030,100.4,Lower,85.7,85.5,85.9,Higher
202,Bronx,Hunts Point and Longwood,55096,1,20,1,77,1,27,10,29,22,12,29,27.8,30.4,Higher,30,28.3,31.1,Lower,38,Higher,74,Lower,37,35.4,38.7,Higher,45,43.6,46.9,Higher,18,16.6,18.8,Lower,32,12,11,14,Higher,58,56,61,Higher,40,151,132.7,170.2,Higher,425,68,60.3,74.1,Lower,0.007,36,,46,,38.5,53.3,Higher,84,,79.1,89.5,Lower,6.6,30,Higher,36,27.2,46.8,Higher,12,1,14.4,Higher,11.8,Higher,25.7,,Higher,26,24.7,28.1,Higher,333,1232,935.6,1592.8,Higher,62.8,,52.8,71.9,Lower,0.001,65,,54.2,74,Similar,0.08,39,,30.1,49.5,Higher,0.001,84,,77,89.5,Similar,0.099,17,,10.5,25.3,Similar,0.15,17,,11.3,24.6,Similar,0.203,16,,9.7,24.7,Similar,0.395,2348,1904.4,2792.5,Higher,1361,1172.8,1550.2,Lower,93,,56,,46.1,64.7,Similar,0.193,36,,27.1,45.4,Higher,0.018,16,,10.9,22,Similar,0.229,35,,27.3,44.2,Higher,0.042,32.8,,12.8,30,,23.8,37.9,Higher,0.001,350,319.1,380.8,Lower,1.2,,0.5,2.2,Lower,795,80,Lower,86.9,86.6,87.1,Higher
203,Bronx,Morrisania and Crotona,89172,1,37,1,61,1,28,10,28,23,11,27,25.5,28.2,Higher,31,29.8,32.4,Lower,37,Higher,72,Lower,34,32.8,35.4,Higher,46,44.9,47.5,Higher,20,18.6,20.8,Lower,31,13,12,15,Higher,58,56,61,Higher,52,161,146,176.6,Higher,516,66,59.1,71.6,Lower,<0.001,32,,39,,31.2,47.2,Higher,76,,69,82.5,Lower,6.2,36,Higher,34,26.9,41.7,Higher,8,2,16.7,Higher,10.5,Higher,23.4,,Higher,25,24.1,26.6,Higher,377,1348,1090.3,1606.1,Higher,72,,64.8,78.3,Similar,0.053,73,,65.8,79.5,Similar,0.921,37,,28.7,45.9,Higher,0.001,83,,75.6,88.4,Lower,0.046,24,,17.3,33.5,Higher,0.001,23,,16.1,32.7,Higher,0.011,20,,13.2,27.9,Similar,0.057,2856,2287.7,3424.9,Higher,1505,1344.3,1665.7,Similar,95,,46,,38.5,53.5,Similar,0.362,41,,33,49.2,Higher,<0.001,16,,11.1,21.4,Similar,0.217,35,,27.8,42.3,Higher,0.026,50.6,,42,28,,19.6,37.7,Higher,0.034,695,637.3,752.4,Similar,3.5,,1.7,6.4,Similar,810,174.9,Similar,82.6,82.2,82.9,Higher
204,Bronx,Highbridge and Concourse,152930,1,31,2,65,1,26,10,29,24,12,37,34.9,38.2,Higher,43,41.1,44.3,Lower,32,Higher,76,Lower,33,30.8,34.3,Higher,45,43.5,46.8,Higher,22,20.8,23.7,Lower,34,10,9,11,Higher,59,56,62,Higher,41,123,112.5,132.8,Higher,341,72,64.9,77.6,Similar,0.098,36,,44,,35.6,51.6,Higher,85,,77.7,91.6,Similar,6.1,15,Higher,27,22.4,32.4,Similar,9,5,13.9,Higher,9.6,Similar,22.6,,Higher,25,23.6,26.7,Higher,361,1356,1154.2,1557,Higher,70.3,,63.2,76.5,Lower,0.014,74,,65.3,81.3,Similar,0.909,32,,24.5,40.2,Higher,0.015,79,,69.8,86.6,Lower,0.018,16,,9.6,24.9,Similar,0.24,16,,9.8,24.3,Similar,0.399,20,,14,27,Higher,0.029,2306,1814.1,2798.4,Higher,1257,1148.5,1364.5,Lower,89,,58,,49.1,65.5,Similar,0.052,28,,21.4,36,Similar,0.361,13,,9.2,17.8,Similar,0.783,35,,28.1,42.8,Higher,0.024,44,,50.6,18,,11.8,25.7,Similar,0.927,1025,957.2,1092.8,Higher,5.7,,3.7,8.4,Similar,1514,284.9,Higher,77.2,76.9,77.5,Lower
205,Bronx,Fordham and University Heights,132558,1,27,2,69,1,27,10,29,24,10,36,34.3,37.5,Higher,43,42.1,44.6,Lower,32,Higher,75,Lower,34,32.8,36,Higher,46,44.2,47.9,Higher,20,18.2,21,Lower,35,12,11,13,Higher,62,59,64,Higher,45,126,114.8,136.9,Higher,427,67,60.3,73.5,Lower,0.004,26,,53,,44.4,61.6,Higher,80,,73.4,86,Lower,6.2,15,Higher,28,22.2,33.1,Similar,9,0,12.9,Higher,9.4,Similar,23.9,,Higher,25,24.3,26.4,Higher,319,1297,1088.8,1505.3,Higher,66.8,,59.3,73.5,Lower,0.001,73,,63.5,80.2,Similar,0.814,33,,24.6,43.5,Higher,0.02,89,,83.5,93.3,Similar,0.979,14,,8.7,22.5,Similar,0.385,21,,14,29.5,Higher,0.04,17,,11.6,23.2,Similar,0.17,2635,2057.8,3211.8,Higher,1168,1042.5,1294.2,Lower,95,,59,,49.7,67.7,Higher,0.038,40,,31.4,49.7,Higher,0.001,21,,15.5,28.4,Higher,0.006,37,,30.2,44.8,Higher,0.004,42.3,,76.9,17,,11.3,24.2,Similar,0.696,1719,1633.2,1805.5,Higher,5.9,,3.8,8.6,Similar,1536,284.1,Higher,78.5,78.2,78.9,Lower
206,Bronx,Belmont and East Tremont,85206,6,25,1,67,1,28,12,28,21,11,27,25.5,28.2,Higher,31,29.8,32.4,Lower,38,Higher,74,Lower,34,32.8,35.4,Higher,46,44.9,47.5,Higher,20,18.6,20.8,Lower,31,13,12,15,Higher,58,56,61,Higher,48,152,137,168,Higher,458,66,59.1,71.6,Lower,<0.001,32,,39,,31.2,47.2,Higher,76,,69,82.5,Lower,6.3,18,Higher,34,27.2,43,Higher,17,4,15.5,Higher,9.5,Similar,22.7,,Higher,25,23.7,26.6,Higher,421,1125,895.8,1394.2,Higher,72,,64.8,78.3,Similar,0.053,73,,65.8,79.5,Similar,0.921,37,,28.7,45.9,Higher,0.001,83,,75.6,88.4,Lower,0.046,24,,17.3,33.5,Higher,0.001,23,,16.1,32.7,Higher,0.011,20,,13.2,27.9,Similar,0.057,2257,1824.4,2689.9,Higher,2080,1887.8,2271.7,Higher,88,,46,,38.5,53.5,Similar,0.362,41,,33,49.2,Higher,<0.001,16,,11.1,21.4,Similar,0.217,35,,27.8,42.3,Higher,0.026,48.2,,32.6,20,,14.4,27.1,Similar,0.544,552,514.4,590.4,Lower,2.4,,1.3,4,Similar,1237,136.5,Lower,85,84.7,85.3,Higher
207,Bronx,Kingsbridge Heights and Bedford,144924,6,18,8,67,1,25,10,30,24,11,37,35.1,39.3,Higher,44,41.7,46,Lower,31,Higher,79,Similar,30,28.1,32.4,Higher,47,45.3,49.3,Higher,22,20.9,23.9,Lower,29,11,10,13,Higher,61,57,64,Higher,41,97,87.8,106.2,Higher,277,68,60.4,74.4,Lower,0.009,37,,49,,41.2,56.8,Higher,87,,81.1,93.4,Similar,6,12,Lower,26,21.3,31.6,Similar,10,4,9.9,Higher,9.5,Similar,21.1,,Higher,25,23.6,26.8,Higher,338,1353,1143.3,1562.6,Higher,72.7,,64.5,79.6,Similar,0.122,71,,63.2,78.1,Similar,0.519,26,,19.5,33.4,Similar,0.312,79,,70.3,85.8,Lower,0.008,18,,11.3,26.1,Similar,0.094,26,,18.5,34.8,Higher,0.001,11,,7.1,17.4,Similar,0.6,1883,1469.8,2295.6,Similar,1802,1665.1,1938.8,Higher,89,,52,,42.6,60.7,Similar,0.611,33,,25,41.1,Similar,0.06,16,,11.2,21.8,Similar,0.19,34,,27.3,41.2,Higher,0.039,30.4,,61,18,,11.7,26.5,Similar,0.986,995,918.8,1071.3,Higher,6.5,,4.3,9.4,Similar,1318,324,Higher,78.4,78,78.9,Lower
208,Bronx,Riverdale and Fieldston,101146,33,12,6,48,2,20,8,27,25,20,23,21.6,24.9,Same,34,32.2,35.7,Lower,21,Lower,83,Similar,18,16.8,19.8,Same,36,34.1,37.5,Same,46,44.2,47.5,Same,19,7,6,8,Similar,52,49,56,Same,32,40,32.8,47.1,Lower,107,86,79.8,90.2,Higher,0.001,34,*,33,,25.5,40.5,Higher,89,,84.1,93.5,Similar,5.9,5,Lower,17,12.6,22.3,Lower,5,3,9,Higher,8.4,Lower,7.8,,Lower,23,19.6,26.2,Similar,170,590,421.6,803.7,Similar,79.4,,68.4,87.3,Similar,0.875,70,*,58.9,79,Similar,0.47,29,*,19.6,40,Similar,0.213,87,,78.1,92.2,Similar,0.424,5,*,2.9,9.9,Lower,0.001,7,*,3.4,12.6,Lower,0.008,9,,5.6,14.9,Similar,0.154,1096,820.9,1370.6,Similar,2097,1975.4,2218.7,Higher,74,,53,*,43,63.5,Similar,0.449,23,,15.7,33.2,Similar,0.737,8,,5.7,12.2,Lower,0.018,26,,18.9,35.1,Similar,0.934,14.9,,42.1,18,,11.7,26.5,Similar,0.986,996,896.2,1096.4,Higher,4.3,,2.1,7.9,Similar,611,260.7,Higher,80.5,79.9,81.1,Lower
209,Bronx,Parkchester and Soundview,182722,2,29,7,60,2,24,9,28,25,14,24,22.7,25.2,Higher,33,31.1,34.3,Lower,30,Higher,78,Lower,27,25.3,28.2,Higher,47,45.1,48.5,Higher,26,25.1,27.9,Lower,29,9,8,10,Higher,55,53,58,Higher,36,100,91.4,108.2,Higher,277,76,69.2,80.9,Similar,0.606,44,,47,,39.7,54.3,Higher,89,,84.3,93.4,Similar,6.2,17,Higher,26,21.4,30,Similar,9,1,12.6,Higher,10.5,Higher,19.6,,Higher,25,24.4,26.6,Higher,271,1230,1039.2,1421.7,Higher,71.6,,63.3,78.6,Similar,0.066,74,,66.8,79.9,Similar,0.943,42,,34,50.8,Higher,<0.001,87,,80.6,91.2,Similar,0.317,16,,11,22.2,Similar,0.105,16,,10.8,23.3,Similar,0.279,12,,7.3,19.6,Similar,0.892,1642,1302.3,1980.8,Similar,1315,1222.6,1407.7,Lower,80,,52,,43.4,60.1,Similar,0.567,40,,32.3,48.8,Higher,<0.001,18,,13.8,24.3,Higher,0.021,34,,26.8,41.4,Similar,0.054,28.2,,64.6,21,,14.8,28.3,Similar,0.422,1450,1355.2,1544.4,Higher,5,,3.1,7.6,Similar,1212,308.3,Higher,77.5,77.1,78,Lower
210,Bronx,Throgs Neck and Co-op City,120296,29,23,6,41,2,20,8,25,27,21,13,11.1,14.3,Lower,23,21.1,24,Lower,24,Higher,83,Similar,16,14.1,17.1,Lower,46,44.4,48.6,Higher,38,35.7,40.2,Lower,16,7,5,8,Similar,46,41,50,Same,32,53,45.3,60.7,Similar,121,82,75.4,87.5,Similar,0.09,63,*,15,,8.8,20.5,Lower,96,*,92.2,99.3,Higher,6.1,9,Lower,17,12.7,21.3,Lower,8,2,11.4,Higher,11.7,Higher,8.7,,Lower,25,23.3,25.9,Higher,185,1023,796.3,1295.2,Higher,77.3,,69.5,83.5,Similar,0.691,74,,65.7,81,Similar,0.905,26,,18.3,34.9,Similar,0.408,90,,84.2,94.3,Similar,0.717,10,,6.6,14.9,Similar,0.54,6,*,2.8,12.8,Lower,0.006,8,,4.5,12.5,Lower,0.013,1169,924.2,1414,Similar,1740,1638.4,1842.3,Higher,71,,42,,32.4,51.9,Similar,0.131,28,,20,37.1,Similar,0.504,16,,10.5,23.6,Similar,0.258,27,,21.5,34.2,Similar,0.791,16.8,,51.5,21,,13.7,30.1,Similar,0.52,887,831,942.4,Higher,5.3,,3.7,7.3,Similar,1683,242.6,Higher,80.4,80,80.7,Lower
211,Bronx,Morris Park and Bronxdale,113909,23,21,9,45,1,22,8,29,24,17,24,22.5,25.3,Same,33,31.9,34.8,Lower,25,Higher,83,Similar,22,20.5,23.1,Higher,44,42.5,46.1,Higher,34,32.4,35.5,Lower,20,9,8,10,Higher,56,53,59,Higher,36,64,55.7,72.7,Similar,188,71,62.3,77.9,Similar,0.108,49,*,31,,21.7,40.2,Similar,88,,81.3,93.8,Similar,6,14,Similar,18,14.2,23.4,Similar,17,1,11.3,Higher,11.4,Higher,15.4,,Similar,25,23.1,26.2,Higher,240,951,745.3,1195.6,Higher,72.6,*,61.2,81.7,Similar,0.248,67,,56.6,76.4,Similar,0.211,29,,20.3,38.5,Similar,0.17,89,*,79.6,94.4,Similar,0.91,12,*,6.3,21.4,Similar,0.861,9,,4.9,14.6,Similar,0.091,19,,12,29.5,Similar,0.132,1321,1051,1590.9,Similar,1940,1815.8,2065.1,Higher,80,,59,,50.7,66.4,Higher,0.02,32,*,22.6,43,Similar,0.171,23,*,14.7,34.9,Higher,0.032,40,*,30,51.9,Higher,0.013,18.5,,52.5,17,,10.7,24.7,Similar,0.67,975,912.6,1037.9,Higher,4.3,,2.8,6.3,Similar,1517,247.9,Higher,80.6,80.2,81.1,Lower
212,Bronx,Williamsbridge and Baychester,152732,6,64,3,25,2,23,9,27,26,15,10,9.2,11.2,Lower,40,38.3,41.4,Lower,34,Higher,79,Similar,20,19,21.6,Higher,48,46.3,49.2,Higher,32,30.4,33.5,Lower,22,9,8,10,Higher,59,55,62,Higher,34,82,73.3,89.9,Higher,288,74,67.7,79.7,Similar,0.339,46,,34,,26.1,41.9,Higher,83,,77.6,88.4,Lower,5.9,16,Higher,23,18.8,27.5,Similar,7,2,15.1,Higher,12.3,Higher,16.2,,Higher,25,23.6,26.2,Higher,308,1142,936.6,1346.9,Higher,79.5,,72.6,85.1,Similar,0.793,76,,68,83,Similar,0.481,42,,33.8,51.6,Higher,<0.001,83,,73.5,90.1,Similar,0.142,12,,7.5,18.9,Similar,0.778,18,,11.5,28.4,Similar,0.169,16,,9.8,25,Similar,0.37,1689,1372.6,2006,Similar,1328,1233,1422.9,Lower,76,,47,,38.7,55.1,Similar,0.538,33,,24.7,41.6,Similar,0.069,16,,10.9,23.3,Similar,0.217,29,,23.8,35.1,Similar,0.374,26.3,,75.3,21,,14.8,28.3,Similar,0.422,1286,1193.4,1377.9,Higher,8.4,,5.7,12,Higher,1129,319.9,Higher,78.2,77.7,78.6,Lower
301,Brooklyn,Greenpoint and Williamsburg,200333,61,5,6,26,2,24,9,39,17,11,21,19.5,22.2,Lower,23,22.1,24.6,Lower,23,Higher,79,Similar,16,14.9,16.9,Lower,30,28.6,31.1,Lower,54,53,55.5,Higher,16,5,4,5,Lower,45,43,47,Lower,19,34,28.8,38.2,Lower,130,78,70.8,83.6,Similar,0.803,59,,20,,13.8,25.5,Similar,93,,90.2,96.7,Similar,7.1,24,Higher,17,13.8,21.2,Lower,11,3,2.7,Lower,5.7,Lower,11.2,,Similar,21,18.1,24.8,Similar,90,172,114.9,246.4,Lower,89.2,,83.6,93.1,Higher,<0.001,71,,62.6,78,Similar,0.479,24,,17,31.8,Similar,0.719,96,,92.9,97.3,Higher,<0.001,9,,5.6,13.4,Similar,0.196,10,*,5.4,17.6,Similar,0.358,10,,6.2,15,Similar,0.198,1041,773,1309.9,Similar,1282,1183.9,1381,Lower,25,,43,,35.5,51.3,Similar,0.124,18,,13.2,24.7,Lower,0.024,11,,7,17.6,Similar,0.693,25,,18.4,32,Similar,0.561,13.3,,32,21,,14.2,30.7,Similar,0.43,818,763.9,872.2,Higher,3.8,,2.4,5.7,Similar,1476,222.3,Higher,80.2,79.8,80.5,Lower
302,Brooklyn,Fort Greene and Brooklyn Heights,135573,46,26,9,14,5,15,8,44,20,14,7,6.8,8.2,Lower,19,18.3,20.3,Lower,20,Lower,82,Similar,10,8.7,10.6,Lower,22,20.5,22.8,Lower,69,67.3,70.1,Higher,12,6,6,7,Similar,39,37,41,Lower,14,40,33.1,46.2,Lower,143,85,78.2,89.7,Higher,0.008,48,*,18,,12.9,23.5,Similar,90,,86.5,94,Similar,6.7,31,Higher,11,7.6,15,Lower,9,2,2.5,Lower,6.3,Lower,5.7,,Lower,15,11.1,18.5,Lower,199,297,186.2,449.8,Lower,90.3,,85.5,93.6,Higher,<0.001,83,,75.5,88.5,Higher,0.004,13,,8.6,20.6,Lower,0.004,92,*,85,95.4,Similar,0.401,8,,4.7,11.9,Lower,0.038,13,*,6.2,23.8,Similar,0.991,14,,8.2,23.8,Similar,0.65,1179,889.6,1469.3,Similar,1270,1157.1,1382.5,Lower,74,,53,,43.8,61.7,Similar,0.453,12,,8.4,17.9,Lower,<0.001,9,,5.7,12.6,Lower,0.032,16,,11.8,22.1,Lower,<0.001,15.2,,22.4,17,,10.4,27.7,Similar,0.896,500,448.3,551.6,Lower,2.9,,1.3,5.5,Similar,825,175,Higher,81.8,81.5,82,Higher
303,Brooklyn,Bedford Stuyvesant,148149,11,63,3,20,3,23,9,33,22,13,11,9.9,11.9,Lower,19,18.4,20.5,Lower,34,Higher,77,Lower,16,15.3,17.4,Lower,42,40.3,43.4,Higher,42,40.4,43.2,Lower,21,8,7,8,Higher,50,47,52,Same,41,117,107.7,127.1,Higher,472,81,74.9,85.7,Similar,0.166,33,,31,,23.5,39.2,Similar,89,,83.8,94.2,Similar,6.3,13,Lower,25,20.6,30,Similar,18,4,5.9,Lower,8.5,Lower,16.1,,Higher,23,21.3,24.1,Similar,323,863,701.2,1050.3,Higher,82.2,,76.6,86.6,Similar,0.166,67,,58.4,75.1,Similar,0.138,28,,21.6,36.4,Similar,0.1,89,,83.9,93.3,Similar,0.986,15,,9.8,21.1,Similar,0.252,18,,11.4,26.5,Similar,0.183,15,,9.3,22.4,Similar,0.516,1887,1505.2,2268.8,Higher,812,728.4,895.5,Lower,57,,41,,32.5,49.3,Lower,0.04,32,,25,40,Similar,0.057,11,,6.7,17.5,Similar,0.611,32,,25.4,39.3,Similar,0.125,28.2,,27.9,14,,9.5,19.8,Similar,0.108,587,545.3,627.9,Lower,5.8,,4.1,7.9,Similar,1824,215.8,Higher,81,80.7,81.3,Similar
304,Brooklyn,Bushwick,109284,9,20,6,65,1,23,11,34,21,11,24,22.6,25.5,Same,31,29.4,32.1,Lower,23,Similar,81,Similar,25,23.8,26.6,Higher,39,36.9,40.2,Same,36,34.9,37.6,Lower,25,6,5,7,Similar,54,52,57,Higher,31,72,63.1,80.7,Higher,267,73,65.3,80,Similar,0.304,47,*,34,,25.4,41.6,Higher,88,,82.1,94,Similar,6.5,23,Higher,22,16.7,27.3,Similar,18,2,8.8,Higher,9.6,Similar,17.8,,Higher,29,27.1,30.8,Higher,225,747,575.5,954.2,Similar,76.6,,68.6,83.1,Similar,0.584,76,,67.3,82.8,Similar,0.567,29,*,19.4,40.2,Similar,0.228,92,,86.6,95.3,Similar,0.235,25,*,15.9,36.6,Higher,0.01,25,*,15.5,37.6,Higher,0.029,21,,13.8,29.5,Higher,0.044,1532,1179,1885.4,Similar,1261,1128.1,1394.7,Lower,66,,39,,29.7,48.2,Lower,0.022,15,,10.3,22.3,Lower,0.002,19,,11.5,29,Similar,0.147,27,,19.6,36.9,Similar,0.847,37.3,,25.5,15,,9,23.3,Similar,0.361,409,365.2,452.4,Lower,3.5,,1.7,6.4,Similar,1097,185.4,Higher,81.8,81.5,82.1,Higher
305,Brooklyn,East New York and Starrett City,174829,4,50,7,37,2,25,9,27,24,14,15,14.4,16.4,Lower,35,34,36.4,Lower,35,Higher,79,Similar,19,17.8,19.9,Same,60,58.8,62.2,Higher,21,19.5,21.8,Lower,28,7,6,8,Similar,54,52,57,Higher,46,113,103.9,121.7,Higher,509,73,66.1,79.6,Similar,0.281,45,,30,,24.1,36.8,Similar,89,,84.5,93.1,Similar,6,12,Lower,26,21.7,30.3,Similar,9,3,8.2,Higher,12.2,Higher,21.9,,Higher,26,24.7,27,Higher,319,981,817.1,1145.8,Higher,72.4,,64.6,78.9,Similar,0.082,70,,62.9,77,Similar,0.374,27,,20.7,35.5,Similar,0.159,88,,80.7,92.3,Similar,0.532,12,,8.1,18.2,Similar,0.692,11,,6.6,18,Similar,0.578,16,,10.3,24.1,Similar,0.314,2097,1690.9,2503.1,Higher,1110,1023.5,1195.7,Lower,81,,52,,43.4,59.6,Similar,0.603,31,,24.1,38,Similar,0.099,23,,17.5,30.3,Higher,0.001,37,,31.3,43.6,Higher,0.001,34.5,,47.3,19,,11.6,28.3,Similar,0.909,837,774.6,899,Higher,4.7,,2.9,7.4,Similar,1133,214.2,Higher,80.6,80.3,80.9,Lower
